id	名称	描述	购买价格	价格类型	操作类型	跳转界面	按钮文本	icon路径	海报路径	原价	所属分页	购买次数	包含道具
1101001	空白海盗旗	使用后可立即修改当前海贼团的名称。	300	2	4	ChangeNamePage	使用	itemposter/poster_item_haidaoqi.png	itemposter/poster_item_haidaoqi.png	0	1	-1	none
1101002	音贝	空岛特产，可将话语传播给世界各地的人。	10	2	0	none	none	itemposter/poster_item_yinbei.png	itemposter/poster_item_yinbei.png	0	0	-1	none
1501001	朗姆酒	当遇到神秘海贼时，将酒赠予他们将会获得更高的经验。	20	2	0	none	none	itemposter/poster_item_langmujiu.png	itemposter/poster_item_langmujiu.png	0	0	0	none
1502001	潜能药剂	培养船员，提升潜力时的必需物品。	999999	2	3	DisciplePage	培养	itemposter/poster_item_qiannengyaoji.png	itemposter/poster_item_qiannengyaoji.png	0	0	0	none
1503001	普通传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的80%经验传递给另一人。	28	2	3	DisciplePage	传承	itemposter/poster_item_ptchuanchengyaoji.png	itemposter/poster_item_ptchuanchengyaoji.png	0	1	-1	none
1503002	高级传承药剂	船员之间传承经验时所需丹药，可以使某个大于等于2级的船员的100%经验传递给另一人。	198	2	3	DisciplePage	传承	itemposter/poster_item_gjchuanchengyaoji.png	itemposter/poster_item_gjchuanchengyaoji.png	0	1	-1	none
2001001	一级精钢	精炼武器时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001002	二级精钢	精炼武器时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001003	三级精钢	精炼武器时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001004	四级精钢	精炼武器时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001005	五级精钢	精炼武器时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001006	六级精钢	精炼武器时使用的物品，可提升80点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001007	七级精钢	精炼武器时使用的物品，可提升160点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001008	八级精钢	精炼武器时使用的物品，可提升320点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2001009	九级精钢	精炼武器时使用的物品，可提升640点精炼值（海贼团等级达到18级以上，可对乙级以上武器进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_jinggang.png	itemposter/poster_item_jinggang.png	0	0	0	none
2002001	一级海王皮	精炼服装时使用的物品，可提升2点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002002	二级海王皮	精炼服装时使用的物品，可提升5点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002003	三级海王皮	精炼服装时使用的物品，可提升10点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002004	四级海王皮	精炼服装时使用的物品，可提升20点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
2002005	五级海王皮	精炼服装时使用的物品，可提升40点精炼值（海贼团等级达到18级以上，可对乙级以上服装进行精炼）	999999	2	3	EquipmentPage	精炼	itemposter/poster_item_haiwangpi.png	itemposter/poster_item_haiwangpi.png	0	0	0	none
